"DATE"	"A191RL1Q225SBEA"	"A191RO1Q156NBEA"	"B230RC0Q173SBEA"	"CAPUTLB50001SQ"	"GDPPOT"	"ND000334Q"
1947-04-01	-1		143790			
1947-07-01	-0.8		144449			
1947-10-01	6.4		145122			
1948-01-01	6.2	2.6	145709			
1948-04-01	6.8	4.6	146289			
1948-07-01	2.3	5.4	146921			
1948-10-01	0.5	3.9	147607			
1949-01-01	-5.4	0.9	148254		2254.866716	
1949-04-01	-1.4	-1	148847		2287.486427	
1949-07-01	4.2	-0.6	149485		2321.150343	
1949-10-01	-3.3	-1.5	150167		2352.817952	
1950-01-01	16.7	3.8	150786		2380.500009	
1950-04-01	12.7	7.3	151319		2412.361929	
1950-07-01	16.4	10.3	151973		2443.517843	
1950-10-01	7.9	13.4	152658		2475.398448	
1951-01-01	5.5	10.6	153291		2507.382112	
1951-04-01	7.1	9.2	153902		2539.256844	
1951-07-01	8.5	7.3	154610		2572.906986	
1951-10-01	0.9	5.5	155344		2608.829348	
1952-01-01	4.3	5.2	155976		2646.598763	
1952-04-01	0.8	3.6	156587		2687.699101	
1952-07-01	2.9	2.2	157267		2727.236808	
1952-10-01	13.8	5.4	157986		2764.659594	
1953-01-01	7.7	6.2	158574		2797.683493	
1953-04-01	3.1	6.8	159160		2826.63259	
1953-07-01	-2.2	5.4	159889		2851.164791	
1953-10-01	-5.9	0.5	160639		2872.154175	
1954-01-01	-1.9	-1.8	161328		2891.620491	
1954-04-01	0.4	-2.4	161983		2909.362011	
1954-07-01	4.6	-0.8	162731		2926.456505	
1954-10-01	8.1	2.7	163524		2944.378518	
1955-01-01	11.9	6.2	164204		2962.006966	
1955-04-01	6.7	7.8	164864		2981.063839	
1955-07-01	5.5	8	165612		2999.764844	
1955-10-01	2.4	6.6	166419		3019.152595	
1956-01-01	-1.5	3.2	167109		3038.588138	
1956-04-01	3.3	2.4	167788		3057.44897	
1956-07-01	-0.3	0.9	168573		3077.140146	
1956-10-01	6.8	2	169416		3098.206236	
1957-01-01	2.6	3.1	170172		3121.456677	
1957-04-01	-0.9	2	170869		3146.925137	
1957-07-01	4	3.1	171638		3173.969862	
1957-10-01	-4.1	0.4	172417		3202.258287	
1958-01-01	-10	-2.9	173064		3230.455474	
1958-04-01	2.7	-2	173729		3259.1233	
1958-07-01	9.6	-0.7	174483		3287.990357	
1958-10-01	9.7	2.7	175288		3318.540646	
1959-01-01	7.9	7.4	176045		3350.148377	
1959-04-01	9.3	9.1	176727		3383.809953	
1959-07-01	0.3	6.7	177481		3419.804493	
1959-10-01	1.1	4.6	178268		3456.278305	
1960-01-01	9.3	4.9	179319		3493.325542	
1960-04-01	-2.1	2.1	180401		3529.38783	
1960-07-01	2	2.5	181301		3564.886066	
1960-10-01	-5	0.9	182019		3599.087586	
1961-01-01	2.7	-0.7	182634		3632.680173	
1961-04-01	7	1.6	183337		3664.351592	
1961-07-01	7.9	3	184103		3697.145837	
1961-10-01	8.1	6.4	184894		3730.888343	
1962-01-01	7.3	7.6	185553		3767.211738	
1962-04-01	3.7	6.7	186203		3806.616356	
1962-07-01	5	6	186926		3848.40814	
1962-10-01	1.3	4.3	187680		3891.361104	
1963-01-01	4.4	3.6	188299		3934.344945	
1963-04-01	4.6	3.8	188906		3976.929057	
1963-07-01	9.1	4.8	189631		4019.352631	
1963-10-01	2.6	5.2	190362		4062.253653	
1964-01-01	8.7	6.2	190954		4105.386214	
1964-04-01	4.4	6.2	191560		4150.052763	
1964-07-01	6.4	5.5	192256		4195.65874	
1964-10-01	1.2	5.2	192938		4241.580675	
1965-01-01	10	5.5	193467		4288.630997	
1965-04-01	5.2	5.7	193994		4334.526483	
