"DATE"	"CEU0500000002"	"CEU0500000003"	"CNP16OV"	"CPIAUCSL"	"CPILFESL"	"GS1"	"GS10"	"GS5"	"LFWA64TTUSM647S"	"LNU01000000"	"LNU03000000"	"LNU05000000"	"PCEPI"	"PCEPILFE"	"PCETRIM1M158SFRBDAL"	"POPTHM"	"STLPPM"
1947-01-01				21.48													
1947-02-01				21.62													
1947-03-01				22													
1947-04-01				22													
1947-05-01				21.95													
1947-06-01				22.08													
1947-07-01				22.23													
1947-08-01				22.4													
1947-09-01				22.84													
1947-10-01				22.91													
1947-11-01				23.06													
1947-12-01				23.41													
1948-01-01			102603	23.68						58690	2351						
1948-02-01			102698	23.67						59247	2807						
1948-03-01			102771	23.5						59247	2646						
1948-04-01			102831	23.82						59878	2407						
1948-05-01			102923	24.01						59777	2014						
1948-06-01			102992	24.15						62132	2408						
1948-07-01			103216	24.4						62366	2411						
1948-08-01			103240	24.43						61915	2238						
1948-09-01			103291	24.36						61398	2061						
1948-10-01			103361	24.31						61037	1747						
1948-11-01			103424	24.16						61024	2033						
1948-12-01			103468	24.05						60759	2205						
1949-01-01			103529	24.01						59481	2995						
1949-02-01			103559	23.91						59794	3474						
1949-03-01			103665	23.91						60192	3383						
1949-04-01			103739	23.92						60206	3277						
1949-05-01			103845	23.91						61185	3516						
1949-06-01			103930	23.92						62197	3966						
1949-07-01			104042	23.7						62559	4388						
1949-08-01			104121	23.7						62460	3956						
1949-09-01			104219	23.75						61959	3635						
1949-10-01			104338	23.67						61838	3788						
1949-11-01			104421	23.7						62186	3570						
1949-12-01			104524	23.61						61402	3690						
1950-01-01			104619	23.51						60837	4648						
1950-02-01			104737	23.61						60988	4791						
1950-03-01			104844	23.64						61046	4313						
1950-04-01			104943	23.65						61477	3665						
1950-05-01			105014	23.77						61982	3263						
1950-06-01			105104	23.88						63548	3551						
1950-07-01			105194	24.07						63155	3316						
1950-08-01			105282	24.2						63561	2613						
1950-09-01			105269	24.34						62735	2490						
1950-10-01			105096	24.5						62763	2055						
1950-11-01			104979	24.6						62669	2356						
1950-12-01			104872	24.98						61761	2409						
1951-01-01			104844	25.38						60815	2649						
1951-02-01			104604	25.83						60640	2538						
1951-03-01			104629	25.88						61689	2323						
1951-04-01			104541	25.92						61144	1938						
1951-05-01			104491	25.99						61989	1770						
1951-06-01			104488	25.93						62505	2132						
1951-07-01			104504	25.91						63040	2072						
1951-08-01			104536	25.86						62934	1806						
1951-09-01			104588	26.03						62294	1886						
